Inter-Session(Subject) Cross-Validation Results

Final Accuracy:
0.5093

Detailed Classification Report:
              precision    recall  f1-score   support

           0     0.5029    0.5535    0.5269       318
           1     0.5170    0.4663    0.4903       326

    accuracy                         0.5093       644
   macro avg     0.5099    0.5099    0.5086       644
weighted avg     0.5100    0.5093    0.5084       644

False Positive Rate (FPR): 0.4465
True Positive Rate (TPR): 0.4663

Prediction Details (file-level):
Sample 1: Predicted=1, Actual=0 (Incorrect)
Sample 130: Predicted=1, Actual=1 (Correct)
Sample 131: Predicted=1, Actual=0 (Incorrect)
Sample 132: Predicted=1, Actual=0 (Incorrect)
Sample 133: Predicted=1, Actual=0 (Incorrect)
Sample 134: Predicted=1, Actual=1 (Correct)
Sample 135: Predicted=0, Actual=0 (Correct)
Sample 136: Predicted=0, Actual=1 (Incorrect)
Sample 137: Predicted=0, Actual=0 (Correct)
Sample 138: Predicted=0, Actual=1 (Incorrect)
Sample 139: Predicted=0, Actual=1 (Incorrect)
Sample 140: Predicted=1, Actual=1 (Correct)
Sample 141: Predicted=0, Actual=1 (Incorrect)
Sample 142: Predicted=0, Actual=1 (Incorrect)
Sample 143: Predicted=0, Actual=1 (Incorrect)
Sample 144: Predicted=0, Actual=0 (Correct)
Sample 145: Predicted=1, Actual=0 (Incorrect)
Sample 146: Predicted=1, Actual=1 (Correct)
Sample 147: Predicted=1, Actual=1 (Correct)
Sample 148: Predicted=1, Actual=0 (Incorrect)
Sample 149: Predicted=0, Actual=0 (Correct)
Sample 150: Predicted=0, Actual=0 (Correct)
Sample 151: Predicted=0, Actual=1 (Incorrect)
Sample 152: Predicted=0, Actual=0 (Correct)
Sample 153: Predicted=0, Actual=1 (Incorrect)
Sample 154: Predicted=1, Actual=1 (Correct)
Sample 155: Predicted=1, Actual=0 (Incorrect)
Sample 156: Predicted=1, Actual=0 (Incorrect)
Sample 157: Predicted=0, Actual=0 (Correct)
Sample 158: Predicted=0, Actual=1 (Incorrect)
Sample 159: Predicted=0, Actual=0 (Correct)
Sample 160: Predicted=0, Actual=1 (Incorrect)
Sample 161: Predicted=1, Actual=1 (Correct)
Sample 162: Predicted=0, Actual=1 (Incorrect)
Sample 163: Predicted=0, Actual=0 (Correct)
Sample 164: Predicted=1, Actual=1 (Correct)
Sample 165: Predicted=1, Actual=0 (Incorrect)
Sample 166: Predicted=0, Actual=1 (Incorrect)
Sample 167: Predicted=0, Actual=0 (Correct)
Sample 168: Predicted=0, Actual=1 (Incorrect)
Sample 169: Predicted=1, Actual=0 (Incorrect)
Sample 170: Predicted=1, Actual=1 (Correct)
Sample 171: Predicted=0, Actual=1 (Incorrect)
Sample 172: Predicted=0, Actual=1 (Incorrect)
Sample 173: Predicted=1, Actual=1 (Correct)
Sample 174: Predicted=1, Actual=0 (Incorrect)
Sample 175: Predicted=0, Actual=0 (Correct)
Sample 176: Predicted=0, Actual=0 (Correct)
Sample 177: Predicted=1, Actual=1 (Correct)
Sample 178: Predicted=0, Actual=1 (Incorrect)
Sample 179: Predicted=1, Actual=1 (Correct)
Sample 180: Predicted=0, Actual=0 (Correct)
Sample 181: Predicted=0, Actual=1 (Incorrect)
Sample 182: Predicted=1, Actual=0 (Incorrect)
Sample 183: Predicted=0, Actual=1 (Incorrect)
Sample 184: Predicted=1, Actual=0 (Incorrect)
Sample 185: Predicted=0, Actual=0 (Correct)
Sample 186: Predicted=0, Actual=0 (Correct)
Sample 187: Predicted=0, Actual=0 (Correct)
Sample 188: Predicted=0, Actual=0 (Correct)
Sample 189: Predicted=1, Actual=1 (Correct)
Sample 190: Predicted=0, Actual=0 (Correct)
Sample 191: Predicted=0, Actual=0 (Correct)
Sample 192: Predicted=0, Actual=0 (Correct)
Sample 193: Predicted=0, Actual=1 (Incorrect)
Sample 194: Predicted=0, Actual=1 (Incorrect)
Sample 195: Predicted=0, Actual=1 (Incorrect)
Sample 196: Predicted=0, Actual=1 (Incorrect)
Sample 197: Predicted=0, Actual=0 (Correct)
Sample 198: Predicted=1, Actual=1 (Correct)
Sample 199: Predicted=0, Actual=1 (Incorrect)
Sample 200: Predicted=1, Actual=1 (Correct)
Sample 201: Predicted=1, Actual=0 (Incorrect)
Sample 202: Predicted=1, Actual=1 (Correct)
Sample 203: Predicted=0, Actual=0 (Correct)
Sample 204: Predicted=1, Actual=0 (Incorrect)
Sample 205: Predicted=0, Actual=0 (Correct)
Sample 206: Predicted=1, Actual=1 (Correct)
Sample 207: Predicted=1, Actual=0 (Incorrect)
Sample 208: Predicted=1, Actual=1 (Correct)
Sample 209: Predicted=0, Actual=0 (Correct)
Sample 210: Predicted=1, Actual=0 (Incorrect)
Sample 211: Predicted=1, Actual=1 (Correct)
Sample 212: Predicted=0, Actual=1 (Incorrect)
Sample 213: Predicted=0, Actual=0 (Correct)
Sample 214: Predicted=1, Actual=1 (Correct)
Sample 215: Predicted=1, Actual=1 (Correct)
Sample 216: Predicted=0, Actual=1 (Incorrect)
Sample 217: Predicted=1, Actual=1 (Correct)
Sample 218: Predicted=0, Actual=0 (Correct)
Sample 219: Predicted=1, Actual=0 (Incorrect)
Sample 220: Predicted=1, Actual=1 (Correct)
Sample 221: Predicted=0, Actual=0 (Correct)
Sample 222: Predicted=0, Actual=1 (Incorrect)
Sample 223: Predicted=1, Actual=1 (Correct)
Sample 224: Predicted=1, Actual=0 (Incorrect)
Sample 225: Predicted=0, Actual=1 (Incorrect)
Sample 226: Predicted=1, Actual=1 (Correct)
Sample 227: Predicted=1, Actual=0 (Incorrect)
Sample 228: Predicted=1, Actual=0 (Incorrect)
Sample 229: Predicted=1, Actual=0 (Incorrect)
Sample 230: Predicted=0, Actual=1 (Incorrect)
Sample 231: Predicted=0, Actual=0 (Correct)
Sample 232: Predicted=1, Actual=0 (Incorrect)
Sample 233: Predicted=0, Actual=1 (Incorrect)
Sample 234: Predicted=1, Actual=1 (Correct)
Sample 235: Predicted=0, Actual=0 (Correct)
Sample 236: Predicted=0, Actual=0 (Correct)
Sample 237: Predicted=0, Actual=0 (Correct)
Sample 238: Predicted=0, Actual=1 (Incorrect)
Sample 239: Predicted=1, Actual=1 (Correct)
Sample 240: Predicted=1, Actual=0 (Incorrect)
Sample 241: Predicted=0, Actual=1 (Incorrect)
Sample 242: Predicted=0, Actual=0 (Correct)
Sample 243: Predicted=0, Actual=1 (Incorrect)
Sample 244: Predicted=1, Actual=0 (Incorrect)
Sample 245: Predicted=0, Actual=0 (Correct)
Sample 246: Predicted=1, Actual=1 (Correct)
Sample 247: Predicted=1, Actual=1 (Correct)
Sample 248: Predicted=0, Actual=0 (Correct)
Sample 249: Predicted=1, Actual=0 (Incorrect)
Sample 250: Predicted=1, Actual=0 (Incorrect)
Sample 251: Predicted=1, Actual=0 (Incorrect)
Sample 252: Predicted=1, Actual=0 (Incorrect)
Sample 253: Predicted=0, Actual=0 (Correct)
Sample 254: Predicted=1, Actual=0 (Incorrect)
Sample 255: Predicted=1, Actual=1 (Correct)
Sample 256: Predicted=0, Actual=1 (Incorrect)
Sample 257: Predicted=1, Actual=1 (Correct)
Sample 258: Predicted=1, Actual=0 (Incorrect)
Sample 259: Predicted=0, Actual=0 (Correct)
Sample 260: Predicted=0, Actual=1 (Incorrect)
Sample 261: Predicted=0, Actual=0 (Correct)
Sample 262: Predicted=1, Actual=0 (Incorrect)
Sample 263: Predicted=1, Actual=0 (Incorrect)
Sample 264: Predicted=1, Actual=1 (Correct)
Sample 265: Predicted=0, Actual=0 (Correct)
Sample 266: Predicted=0, Actual=0 (Correct)
Sample 267: Predicted=1, Actual=0 (Incorrect)
Sample 268: Predicted=0, Actual=0 (Correct)
Sample 269: Predicted=1, Actual=0 (Incorrect)
Sample 270: Predicted=1, Actual=1 (Correct)
Sample 271: Predicted=1, Actual=0 (Incorrect)
Sample 272: Predicted=0, Actual=0 (Correct)
Sample 273: Predicted=1, Actual=0 (Incorrect)
Sample 274: Predicted=1, Actual=1 (Correct)
Sample 275: Predicted=1, Actual=1 (Correct)
Sample 276: Predicted=1, Actual=0 (Incorrect)
Sample 277: Predicted=0, Actual=0 (Correct)
Sample 278: Predicted=1, Actual=0 (Incorrect)
Sample 279: Predicted=0, Actual=0 (Correct)
Sample 280: Predicted=0, Actual=0 (Correct)
Sample 281: Predicted=0, Actual=1 (Incorrect)
Sample 282: Predicted=0, Actual=0 (Correct)
Sample 283: Predicted=0, Actual=0 (Correct)
Sample 284: Predicted=1, Actual=0 (Incorrect)
Sample 285: Predicted=1, Actual=1 (Correct)
Sample 286: Predicted=0, Actual=1 (Incorrect)
Sample 287: Predicted=1, Actual=1 (Correct)
Sample 288: Predicted=0, Actual=1 (Incorrect)
Sample 289: Predicted=1, Actual=1 (Correct)
Sample 290: Predicted=1, Actual=0 (Incorrect)
Sample 291: Predicted=1, Actual=0 (Incorrect)
Sample 292: Predicted=0, Actual=1 (Incorrect)
Sample 293: Predicted=0, Actual=1 (Incorrect)
Sample 294: Predicted=1, Actual=1 (Correct)
Sample 295: Predicted=0, Actual=1 (Incorrect)
Sample 296: Predicted=1, Actual=0 (Incorrect)
Sample 297: Predicted=1, Actual=0 (Incorrect)
Sample 298: Predicted=1, Actual=0 (Incorrect)
Sample 299: Predicted=1, Actual=1 (Correct)
Sample 300: Predicted=0, Actual=1 (Incorrect)
Sample 301: Predicted=1, Actual=0 (Incorrect)
Sample 302: Predicted=1, Actual=0 (Incorrect)
Sample 303: Predicted=1, Actual=1 (Correct)
Sample 304: Predicted=1, Actual=1 (Correct)
Sample 305: Predicted=0, Actual=1 (Incorrect)
Sample 306: Predicted=0, Actual=1 (Incorrect)
Sample 307: Predicted=1, Actual=0 (Incorrect)
Sample 308: Predicted=0, Actual=1 (Incorrect)
Sample 309: Predicted=0, Actual=0 (Correct)
Sample 310: Predicted=0, Actual=0 (Correct)
Sample 311: Predicted=0, Actual=0 (Correct)
Sample 312: Predicted=0, Actual=1 (Incorrect)
Sample 313: Predicted=0, Actual=1 (Incorrect)
Sample 314: Predicted=0, Actual=0 (Correct)
Sample 315: Predicted=0, Actual=0 (Correct)
Sample 316: Predicted=1, Actual=1 (Correct)
Sample 317: Predicted=1, Actual=1 (Correct)
Sample 318: Predicted=1, Actual=0 (Incorrect)
Sample 319: Predicted=1, Actual=1 (Correct)
Sample 320: Predicted=1, Actual=1 (Correct)
Sample 321: Predicted=1, Actual=1 (Correct)
Sample 322: Predicted=1, Actual=0 (Incorrect)
Sample 323: Predicted=0, Actual=0 (Correct)
Sample 324: Predicted=0, Actual=1 (Incorrect)
Sample 325: Predicted=1, Actual=1 (Correct)
Sample 326: Predicted=1, Actual=0 (Incorrect)
Sample 327: Predicted=1, Actual=1 (Correct)
Sample 328: Predicted=1, Actual=1 (Correct)
Sample 329: Predicted=0, Actual=1 (Incorrect)
Sample 330: Predicted=0, Actual=1 (Incorrect)
Sample 331: Predicted=1, Actual=0 (Incorrect)
Sample 332: Predicted=0, Actual=0 (Correct)
Sample 333: Predicted=0, Actual=0 (Correct)
Sample 334: Predicted=1, Actual=1 (Correct)
Sample 335: Predicted=0, Actual=1 (Incorrect)
Sample 336: Predicted=0, Actual=1 (Incorrect)
Sample 337: Predicted=0, Actual=0 (Correct)
Sample 338: Predicted=0, Actual=0 (Correct)
Sample 339: Predicted=1, Actual=1 (Correct)
Sample 340: Predicted=0, Actual=1 (Incorrect)
Sample 341: Predicted=1, Actual=1 (Correct)
Sample 342: Predicted=1, Actual=1 (Correct)
Sample 343: Predicted=0, Actual=1 (Incorrect)
Sample 344: Predicted=1, Actual=1 (Correct)
Sample 345: Predicted=0, Actual=1 (Incorrect)
Sample 346: Predicted=0, Actual=1 (Incorrect)
Sample 347: Predicted=0, Actual=1 (Incorrect)
Sample 348: Predicted=1, Actual=1 (Correct)
Sample 349: Predicted=0, Actual=1 (Incorrect)
Sample 350: Predicted=0, Actual=0 (Correct)
Sample 351: Predicted=0, Actual=0 (Correct)
Sample 352: Predicted=1, Actual=1 (Correct)
Sample 353: Predicted=0, Actual=0 (Correct)
Sample 354: Predicted=1, Actual=0 (Incorrect)
Sample 355: Predicted=1, Actual=1 (Correct)
Sample 356: Predicted=1, Actual=0 (Incorrect)
Sample 357: Predicted=0, Actual=0 (Correct)
Sample 358: Predicted=1, Actual=1 (Correct)
Sample 359: Predicted=0, Actual=1 (Incorrect)
Sample 360: Predicted=0, Actual=1 (Incorrect)
Sample 361: Predicted=0, Actual=1 (Incorrect)
Sample 362: Predicted=0, Actual=1 (Incorrect)
Sample 363: Predicted=1, Actual=0 (Incorrect)
Sample 364: Predicted=1, Actual=1 (Correct)
Sample 365: Predicted=0, Actual=0 (Correct)
Sample 366: Predicted=1, Actual=1 (Correct)
Sample 367: Predicted=1, Actual=0 (Incorrect)
Sample 368: Predicted=0, Actual=0 (Correct)
Sample 369: Predicted=0, Actual=1 (Incorrect)
Sample 370: Predicted=1, Actual=1 (Correct)
Sample 371: Predicted=0, Actual=0 (Correct)
Sample 372: Predicted=1, Actual=0 (Incorrect)
Sample 373: Predicted=1, Actual=0 (Incorrect)
Sample 374: Predicted=0, Actual=1 (Incorrect)
Sample 375: Predicted=0, Actual=1 (Incorrect)
Sample 376: Predicted=0, Actual=0 (Correct)
Sample 377: Predicted=1, Actual=0 (Incorrect)
Sample 378: Predicted=0, Actual=1 (Incorrect)
Sample 379: Predicted=1, Actual=1 (Correct)
Sample 380: Predicted=0, Actual=1 (Incorrect)
Sample 381: Predicted=0, Actual=0 (Correct)
Sample 382: Predicted=1, Actual=0 (Incorrect)
Sample 383: Predicted=0, Actual=1 (Incorrect)
Sample 384: Predicted=1, Actual=1 (Correct)
Sample 385: Predicted=0, Actual=0 (Correct)
Sample 386: Predicted=0, Actual=1 (Incorrect)
Sample 387: Predicted=0, Actual=1 (Incorrect)
Sample 388: Predicted=1, Actual=0 (Incorrect)
Sample 389: Predicted=0, Actual=1 (Incorrect)
Sample 390: Predicted=1, Actual=1 (Correct)
Sample 391: Predicted=1, Actual=0 (Incorrect)
Sample 392: Predicted=1, Actual=1 (Correct)
Sample 393: Predicted=1, Actual=0 (Incorrect)
Sample 394: Predicted=0, Actual=0 (Correct)
Sample 395: Predicted=0, Actual=1 (Incorrect)
Sample 396: Predicted=0, Actual=1 (Incorrect)
Sample 397: Predicted=0, Actual=0 (Correct)
Sample 398: Predicted=0, Actual=0 (Correct)
Sample 399: Predicted=0, Actual=1 (Incorrect)
Sample 400: Predicted=0, Actual=1 (Incorrect)
Sample 401: Predicted=0, Actual=1 (Incorrect)
Sample 402: Predicted=0, Actual=1 (Incorrect)
Sample 403: Predicted=1, Actual=0 (Incorrect)
Sample 404: Predicted=0, Actual=0 (Correct)
Sample 405: Predicted=1, Actual=0 (Incorrect)
Sample 406: Predicted=1, Actual=1 (Correct)
Sample 407: Predicted=1, Actual=0 (Incorrect)
Sample 408: Predicted=1, Actual=0 (Incorrect)
Sample 409: Predicted=1, Actual=0 (Incorrect)
Sample 410: Predicted=0, Actual=0 (Correct)
Sample 411: Predicted=0, Actual=1 (Incorrect)
Sample 412: Predicted=0, Actual=0 (Correct)
Sample 413: Predicted=1, Actual=1 (Correct)
Sample 414: Predicted=0, Actual=0 (Correct)
Sample 415: Predicted=0, Actual=1 (Incorrect)
Sample 416: Predicted=0, Actual=0 (Correct)
Sample 417: Predicted=0, Actual=1 (Incorrect)
Sample 418: Predicted=0, Actual=1 (Incorrect)
Sample 419: Predicted=0, Actual=1 (Incorrect)
Sample 420: Predicted=1, Actual=1 (Correct)
Sample 421: Predicted=1, Actual=1 (Correct)
Sample 422: Predicted=1, Actual=0 (Incorrect)
Sample 423: Predicted=0, Actual=0 (Correct)
Sample 424: Predicted=1, Actual=0 (Incorrect)
Sample 425: Predicted=0, Actual=1 (Incorrect)
Sample 426: Predicted=1, Actual=0 (Incorrect)
Sample 427: Predicted=1, Actual=0 (Incorrect)
Sample 428: Predicted=1, Actual=0 (Incorrect)
Sample 429: Predicted=0, Actual=0 (Correct)
Sample 430: Predicted=0, Actual=1 (Incorrect)
Sample 431: Predicted=1, Actual=0 (Incorrect)
Sample 432: Predicted=1, Actual=1 (Correct)
Sample 433: Predicted=0, Actual=0 (Correct)
Sample 434: Predicted=1, Actual=0 (Incorrect)
Sample 435: Predicted=0, Actual=0 (Correct)
Sample 436: Predicted=0, Actual=0 (Correct)
Sample 437: Predicted=0, Actual=1 (Incorrect)
Sample 438: Predicted=0, Actual=1 (Incorrect)
Sample 439: Predicted=0, Actual=1 (Incorrect)
Sample 440: Predicted=0, Actual=1 (Incorrect)
Sample 441: Predicted=0, Actual=1 (Incorrect)
Sample 442: Predicted=0, Actual=1 (Incorrect)
Sample 443: Predicted=0, Actual=0 (Correct)
Sample 444: Predicted=0, Actual=0 (Correct)
Sample 445: Predicted=1, Actual=1 (Correct)
Sample 446: Predicted=0, Actual=1 (Incorrect)
Sample 447: Predicted=0, Actual=1 (Incorrect)
Sample 448: Predicted=0, Actual=0 (Correct)
Sample 449: Predicted=0, Actual=1 (Incorrect)
Sample 450: Predicted=0, Actual=1 (Incorrect)
Sample 451: Predicted=0, Actual=1 (Incorrect)
Sample 452: Predicted=0, Actual=1 (Incorrect)
Sample 453: Predicted=1, Actual=0 (Incorrect)
Sample 454: Predicted=1, Actual=0 (Incorrect)
Sample 455: Predicted=0, Actual=1 (Incorrect)
Sample 456: Predicted=1, Actual=1 (Correct)
Sample 457: Predicted=0, Actual=0 (Correct)
Sample 458: Predicted=1, Actual=1 (Correct)
Sample 459: Predicted=1, Actual=0 (Incorrect)
Sample 460: Predicted=1, Actual=1 (Correct)
Sample 461: Predicted=0, Actual=0 (Correct)
Sample 462: Predicted=0, Actual=0 (Correct)
Sample 463: Predicted=1, Actual=1 (Correct)
Sample 464: Predicted=0, Actual=1 (Incorrect)
Sample 465: Predicted=0, Actual=1 (Incorrect)
Sample 466: Predicted=0, Actual=0 (Correct)
Sample 467: Predicted=0, Actual=0 (Correct)
Sample 468: Predicted=0, Actual=0 (Correct)
Sample 469: Predicted=0, Actual=1 (Incorrect)
Sample 470: Predicted=0, Actual=1 (Incorrect)
Sample 471: Predicted=0, Actual=0 (Correct)
Sample 472: Predicted=1, Actual=0 (Incorrect)
Sample 473: Predicted=0, Actual=0 (Correct)
Sample 474: Predicted=1, Actual=0 (Incorrect)
Sample 475: Predicted=0, Actual=1 (Incorrect)
Sample 476: Predicted=0, Actual=0 (Correct)
Sample 477: Predicted=0, Actual=1 (Incorrect)
Sample 478: Predicted=0, Actual=0 (Correct)
Sample 479: Predicted=1, Actual=1 (Correct)
Sample 480: Predicted=1, Actual=1 (Correct)
Sample 481: Predicted=0, Actual=1 (Incorrect)
Sample 482: Predicted=0, Actual=0 (Correct)
Sample 483: Predicted=0, Actual=0 (Correct)
Sample 484: Predicted=0, Actual=0 (Correct)
Sample 485: Predicted=1, Actual=1 (Correct)
Sample 486: Predicted=1, Actual=0 (Incorrect)
Sample 487: Predicted=0, Actual=0 (Correct)
Sample 488: Predicted=0, Actual=0 (Correct)
Sample 489: Predicted=1, Actual=0 (Incorrect)
Sample 490: Predicted=1, Actual=1 (Correct)
Sample 491: Predicted=1, Actual=1 (Correct)
Sample 492: Predicted=0, Actual=1 (Incorrect)
Sample 493: Predicted=0, Actual=1 (Incorrect)
Sample 494: Predicted=0, Actual=0 (Correct)
Sample 495: Predicted=1, Actual=0 (Incorrect)
Sample 496: Predicted=0, Actual=1 (Incorrect)
Sample 497: Predicted=0, Actual=1 (Incorrect)
Sample 498: Predicted=1, Actual=1 (Correct)
Sample 499: Predicted=0, Actual=1 (Incorrect)
Sample 500: Predicted=1, Actual=1 (Correct)
Sample 501: Predicted=0, Actual=1 (Incorrect)
Sample 502: Predicted=0, Actual=0 (Correct)
Sample 503: Predicted=0, Actual=0 (Correct)
Sample 504: Predicted=1, Actual=1 (Correct)
Sample 505: Predicted=1, Actual=1 (Correct)
Sample 506: Predicted=0, Actual=0 (Correct)
Sample 507: Predicted=1, Actual=0 (Incorrect)
Sample 508: Predicted=1, Actual=1 (Correct)
Sample 509: Predicted=1, Actual=1 (Correct)
Sample 510: Predicted=1, Actual=1 (Correct)
Sample 511: Predicted=0, Actual=0 (Correct)
Sample 512: Predicted=0, Actual=0 (Correct)
Sample 513: Predicted=1, Actual=0 (Incorrect)
Sample 514: Predicted=0, Actual=1 (Incorrect)
Sample 515: Predicted=0, Actual=0 (Correct)
Sample 516: Predicted=1, Actual=0 (Incorrect)
Sample 517: Predicted=1, Actual=1 (Correct)
Sample 518: Predicted=0, Actual=0 (Correct)
Sample 519: Predicted=0, Actual=1 (Incorrect)
Sample 520: Predicted=1, Actual=1 (Correct)
Sample 521: Predicted=1, Actual=0 (Incorrect)
