Inter-Session(Subject) Cross-Validation Results

Final Accuracy:
0.5450

Detailed Classification Report:
              precision    recall  f1-score   support

           0     0.5598    0.3679    0.4440       318
           1     0.5379    0.7178    0.6150       326

    accuracy                         0.5450       644
   macro avg     0.5489    0.5429    0.5295       644
weighted avg     0.5487    0.5450    0.5306       644

False Positive Rate (FPR): 0.6321
True Positive Rate (TPR): 0.7178

Prediction Details (file-level):
Sample 1: Predicted=0, Actual=0 (Correct)
Sample 57: Predicted=1, Actual=0 (Incorrect)
Sample 58: Predicted=1, Actual=1 (Correct)
Sample 59: Predicted=1, Actual=1 (Correct)
Sample 60: Predicted=1, Actual=1 (Correct)
Sample 61: Predicted=1, Actual=1 (Correct)
Sample 62: Predicted=0, Actual=0 (Correct)
Sample 63: Predicted=1, Actual=1 (Correct)
Sample 64: Predicted=1, Actual=1 (Correct)
Sample 65: Predicted=0, Actual=0 (Correct)
Sample 66: Predicted=1, Actual=0 (Incorrect)
Sample 67: Predicted=0, Actual=1 (Incorrect)
Sample 68: Predicted=0, Actual=0 (Correct)
Sample 69: Predicted=1, Actual=1 (Correct)
Sample 70: Predicted=1, Actual=0 (Incorrect)
Sample 71: Predicted=1, Actual=0 (Incorrect)
Sample 72: Predicted=0, Actual=1 (Incorrect)
Sample 73: Predicted=1, Actual=1 (Correct)
Sample 74: Predicted=0, Actual=1 (Incorrect)
Sample 75: Predicted=0, Actual=1 (Incorrect)
Sample 76: Predicted=1, Actual=1 (Correct)
Sample 77: Predicted=1, Actual=0 (Incorrect)
Sample 78: Predicted=1, Actual=0 (Incorrect)
Sample 79: Predicted=1, Actual=0 (Incorrect)
Sample 80: Predicted=0, Actual=0 (Correct)
Sample 81: Predicted=0, Actual=0 (Correct)
Sample 82: Predicted=1, Actual=1 (Correct)
Sample 83: Predicted=1, Actual=0 (Incorrect)
Sample 84: Predicted=1, Actual=1 (Correct)
Sample 85: Predicted=1, Actual=0 (Incorrect)
Sample 86: Predicted=1, Actual=1 (Correct)
Sample 87: Predicted=1, Actual=1 (Correct)
Sample 88: Predicted=1, Actual=1 (Correct)
Sample 89: Predicted=1, Actual=1 (Correct)
Sample 90: Predicted=1, Actual=1 (Correct)
Sample 91: Predicted=0, Actual=1 (Incorrect)
Sample 92: Predicted=0, Actual=1 (Incorrect)
Sample 93: Predicted=1, Actual=0 (Incorrect)
Sample 94: Predicted=1, Actual=1 (Correct)
Sample 95: Predicted=1, Actual=0 (Incorrect)
Sample 96: Predicted=0, Actual=1 (Incorrect)
Sample 97: Predicted=1, Actual=0 (Incorrect)
Sample 98: Predicted=0, Actual=0 (Correct)
Sample 99: Predicted=1, Actual=0 (Incorrect)
Sample 100: Predicted=1, Actual=1 (Correct)
Sample 101: Predicted=1, Actual=0 (Incorrect)
Sample 102: Predicted=1, Actual=0 (Incorrect)
Sample 103: Predicted=0, Actual=0 (Correct)
Sample 104: Predicted=1, Actual=0 (Incorrect)
Sample 105: Predicted=0, Actual=1 (Incorrect)
Sample 106: Predicted=0, Actual=0 (Correct)
Sample 107: Predicted=1, Actual=0 (Incorrect)
Sample 108: Predicted=0, Actual=0 (Correct)
Sample 109: Predicted=1, Actual=0 (Incorrect)
Sample 110: Predicted=0, Actual=0 (Correct)
Sample 111: Predicted=1, Actual=0 (Incorrect)
Sample 112: Predicted=0, Actual=1 (Incorrect)
Sample 113: Predicted=1, Actual=0 (Incorrect)
Sample 114: Predicted=1, Actual=0 (Incorrect)
Sample 115: Predicted=1, Actual=0 (Incorrect)
Sample 116: Predicted=0, Actual=0 (Correct)
Sample 117: Predicted=0, Actual=0 (Correct)
Sample 118: Predicted=1, Actual=1 (Correct)
Sample 119: Predicted=1, Actual=1 (Correct)
Sample 120: Predicted=1, Actual=0 (Incorrect)
Sample 121: Predicted=1, Actual=1 (Correct)
Sample 122: Predicted=1, Actual=1 (Correct)
Sample 123: Predicted=1, Actual=1 (Correct)
Sample 124: Predicted=1, Actual=0 (Incorrect)
Sample 125: Predicted=1, Actual=0 (Incorrect)
Sample 126: Predicted=1, Actual=1 (Correct)
Sample 127: Predicted=1, Actual=1 (Correct)
Sample 128: Predicted=0, Actual=0 (Correct)
Sample 129: Predicted=0, Actual=0 (Correct)
Sample 130: Predicted=0, Actual=1 (Incorrect)
Sample 131: Predicted=0, Actual=0 (Correct)
Sample 132: Predicted=1, Actual=0 (Incorrect)
Sample 133: Predicted=1, Actual=0 (Incorrect)
Sample 134: Predicted=1, Actual=1 (Correct)
Sample 135: Predicted=1, Actual=0 (Incorrect)
Sample 136: Predicted=1, Actual=1 (Correct)
Sample 137: Predicted=1, Actual=0 (Incorrect)
Sample 138: Predicted=0, Actual=1 (Incorrect)
Sample 139: Predicted=1, Actual=1 (Correct)
Sample 140: Predicted=0, Actual=1 (Incorrect)
Sample 141: Predicted=1, Actual=1 (Correct)
Sample 142: Predicted=1, Actual=1 (Correct)
Sample 143: Predicted=1, Actual=1 (Correct)
Sample 144: Predicted=0, Actual=0 (Correct)
Sample 145: Predicted=0, Actual=0 (Correct)
Sample 146: Predicted=0, Actual=1 (Incorrect)
Sample 147: Predicted=1, Actual=1 (Correct)
Sample 148: Predicted=1, Actual=0 (Incorrect)
Sample 149: Predicted=1, Actual=0 (Incorrect)
Sample 150: Predicted=0, Actual=0 (Correct)
Sample 151: Predicted=1, Actual=1 (Correct)
Sample 152: Predicted=1, Actual=0 (Incorrect)
Sample 153: Predicted=0, Actual=1 (Incorrect)
Sample 154: Predicted=1, Actual=1 (Correct)
Sample 155: Predicted=1, Actual=0 (Incorrect)
Sample 156: Predicted=0, Actual=0 (Correct)
Sample 157: Predicted=1, Actual=0 (Incorrect)
Sample 158: Predicted=1, Actual=1 (Correct)
Sample 159: Predicted=1, Actual=0 (Incorrect)
Sample 160: Predicted=0, Actual=1 (Incorrect)
Sample 161: Predicted=1, Actual=1 (Correct)
Sample 162: Predicted=0, Actual=1 (Incorrect)
Sample 163: Predicted=1, Actual=0 (Incorrect)
Sample 164: Predicted=0, Actual=1 (Incorrect)
Sample 165: Predicted=1, Actual=0 (Incorrect)
Sample 166: Predicted=0, Actual=1 (Incorrect)
Sample 167: Predicted=0, Actual=0 (Correct)
Sample 168: Predicted=0, Actual=1 (Incorrect)
Sample 169: Predicted=0, Actual=0 (Correct)
Sample 170: Predicted=0, Actual=1 (Incorrect)
Sample 171: Predicted=0, Actual=1 (Incorrect)
Sample 172: Predicted=0, Actual=1 (Incorrect)
Sample 173: Predicted=1, Actual=1 (Correct)
Sample 174: Predicted=0, Actual=0 (Correct)
Sample 175: Predicted=1, Actual=0 (Incorrect)
Sample 176: Predicted=0, Actual=0 (Correct)
Sample 177: Predicted=0, Actual=1 (Incorrect)
Sample 178: Predicted=0, Actual=1 (Incorrect)
Sample 179: Predicted=1, Actual=1 (Correct)
Sample 180: Predicted=0, Actual=0 (Correct)
Sample 181: Predicted=0, Actual=1 (Incorrect)
Sample 182: Predicted=1, Actual=0 (Incorrect)
Sample 183: Predicted=1, Actual=1 (Correct)
Sample 184: Predicted=1, Actual=0 (Incorrect)
Sample 185: Predicted=1, Actual=0 (Incorrect)
Sample 186: Predicted=1, Actual=0 (Incorrect)
Sample 187: Predicted=1, Actual=0 (Incorrect)
Sample 188: Predicted=0, Actual=0 (Correct)
Sample 189: Predicted=1, Actual=1 (Correct)
Sample 190: Predicted=1, Actual=0 (Incorrect)
Sample 191: Predicted=1, Actual=0 (Incorrect)
Sample 192: Predicted=0, Actual=0 (Correct)
Sample 193: Predicted=0, Actual=1 (Incorrect)
Sample 194: Predicted=1, Actual=1 (Correct)
Sample 195: Predicted=1, Actual=1 (Correct)
Sample 196: Predicted=0, Actual=1 (Incorrect)
Sample 197: Predicted=0, Actual=0 (Correct)
Sample 198: Predicted=1, Actual=1 (Correct)
Sample 199: Predicted=0, Actual=1 (Incorrect)
Sample 200: Predicted=0, Actual=1 (Incorrect)
Sample 201: Predicted=1, Actual=0 (Incorrect)
Sample 202: Predicted=1, Actual=1 (Correct)
Sample 203: Predicted=1, Actual=0 (Incorrect)
Sample 204: Predicted=0, Actual=0 (Correct)
Sample 205: Predicted=0, Actual=0 (Correct)
Sample 206: Predicted=1, Actual=1 (Correct)
Sample 207: Predicted=1, Actual=0 (Incorrect)
Sample 208: Predicted=0, Actual=1 (Incorrect)
Sample 209: Predicted=0, Actual=0 (Correct)
Sample 210: Predicted=0, Actual=0 (Correct)
Sample 211: Predicted=1, Actual=1 (Correct)
Sample 212: Predicted=1, Actual=1 (Correct)
Sample 213: Predicted=0, Actual=0 (Correct)
Sample 214: Predicted=1, Actual=1 (Correct)
Sample 215: Predicted=1, Actual=1 (Correct)
Sample 216: Predicted=1, Actual=1 (Correct)
Sample 217: Predicted=1, Actual=1 (Correct)
Sample 218: Predicted=1, Actual=0 (Incorrect)
Sample 219: Predicted=0, Actual=0 (Correct)
Sample 220: Predicted=1, Actual=1 (Correct)
Sample 221: Predicted=1, Actual=0 (Incorrect)
Sample 222: Predicted=0, Actual=1 (Incorrect)
Sample 223: Predicted=0, Actual=1 (Incorrect)
Sample 224: Predicted=0, Actual=0 (Correct)
Sample 225: Predicted=1, Actual=1 (Correct)
Sample 226: Predicted=1, Actual=1 (Correct)
Sample 227: Predicted=1, Actual=0 (Incorrect)
Sample 228: Predicted=1, Actual=0 (Incorrect)
Sample 229: Predicted=1, Actual=0 (Incorrect)
Sample 230: Predicted=1, Actual=1 (Correct)
Sample 231: Predicted=1, Actual=0 (Incorrect)
Sample 232: Predicted=0, Actual=0 (Correct)
Sample 233: Predicted=0, Actual=1 (Incorrect)
Sample 234: Predicted=0, Actual=1 (Incorrect)
Sample 235: Predicted=1, Actual=0 (Incorrect)
Sample 236: Predicted=1, Actual=0 (Incorrect)
Sample 237: Predicted=0, Actual=0 (Correct)
Sample 238: Predicted=1, Actual=1 (Correct)
Sample 239: Predicted=1, Actual=1 (Correct)
Sample 240: Predicted=1, Actual=0 (Incorrect)
Sample 241: Predicted=1, Actual=1 (Correct)
Sample 242: Predicted=0, Actual=0 (Correct)
Sample 243: Predicted=0, Actual=1 (Incorrect)
Sample 244: Predicted=1, Actual=0 (Incorrect)
Sample 245: Predicted=1, Actual=0 (Incorrect)
Sample 246: Predicted=1, Actual=1 (Correct)
Sample 247: Predicted=0, Actual=1 (Incorrect)
Sample 248: Predicted=0, Actual=0 (Correct)
Sample 249: Predicted=1, Actual=0 (Incorrect)
Sample 250: Predicted=1, Actual=0 (Incorrect)
Sample 251: Predicted=1, Actual=0 (Incorrect)
Sample 252: Predicted=1, Actual=0 (Incorrect)
Sample 253: Predicted=0, Actual=0 (Correct)
Sample 254: Predicted=0, Actual=0 (Correct)
Sample 255: Predicted=1, Actual=1 (Correct)
Sample 256: Predicted=1, Actual=1 (Correct)
Sample 257: Predicted=1, Actual=1 (Correct)
Sample 258: Predicted=0, Actual=0 (Correct)
Sample 259: Predicted=1, Actual=0 (Incorrect)
Sample 260: Predicted=1, Actual=1 (Correct)
Sample 261: Predicted=0, Actual=0 (Correct)
Sample 262: Predicted=1, Actual=0 (Incorrect)
Sample 263: Predicted=0, Actual=0 (Correct)
Sample 264: Predicted=1, Actual=1 (Correct)
Sample 265: Predicted=1, Actual=0 (Incorrect)
Sample 266: Predicted=1, Actual=0 (Incorrect)
Sample 267: Predicted=1, Actual=0 (Incorrect)
Sample 268: Predicted=0, Actual=0 (Correct)
Sample 269: Predicted=0, Actual=0 (Correct)
Sample 270: Predicted=1, Actual=1 (Correct)
Sample 271: Predicted=0, Actual=0 (Correct)
Sample 272: Predicted=0, Actual=0 (Correct)
Sample 273: Predicted=1, Actual=0 (Incorrect)
Sample 274: Predicted=0, Actual=1 (Incorrect)
Sample 275: Predicted=0, Actual=1 (Incorrect)
Sample 276: Predicted=1, Actual=0 (Incorrect)
Sample 277: Predicted=0, Actual=0 (Correct)
Sample 278: Predicted=1, Actual=0 (Incorrect)
Sample 279: Predicted=0, Actual=0 (Correct)
Sample 280: Predicted=1, Actual=0 (Incorrect)
Sample 281: Predicted=1, Actual=1 (Correct)
Sample 282: Predicted=1, Actual=0 (Incorrect)
Sample 283: Predicted=1, Actual=0 (Incorrect)
Sample 284: Predicted=0, Actual=0 (Correct)
Sample 285: Predicted=1, Actual=1 (Correct)
Sample 286: Predicted=1, Actual=1 (Correct)
Sample 287: Predicted=1, Actual=1 (Correct)
Sample 288: Predicted=1, Actual=1 (Correct)
Sample 289: Predicted=0, Actual=1 (Incorrect)
Sample 290: Predicted=1, Actual=0 (Incorrect)
Sample 291: Predicted=1, Actual=0 (Incorrect)
Sample 292: Predicted=1, Actual=1 (Correct)
Sample 293: Predicted=1, Actual=1 (Correct)
Sample 294: Predicted=1, Actual=1 (Correct)
Sample 295: Predicted=1, Actual=1 (Correct)
Sample 296: Predicted=1, Actual=0 (Incorrect)
Sample 297: Predicted=1, Actual=0 (Incorrect)
Sample 298: Predicted=1, Actual=0 (Incorrect)
Sample 299: Predicted=1, Actual=1 (Correct)
Sample 300: Predicted=0, Actual=1 (Incorrect)
Sample 301: Predicted=0, Actual=0 (Correct)
Sample 302: Predicted=1, Actual=0 (Incorrect)
Sample 303: Predicted=1, Actual=1 (Correct)
Sample 304: Predicted=0, Actual=1 (Incorrect)
Sample 305: Predicted=1, Actual=1 (Correct)
Sample 306: Predicted=1, Actual=1 (Correct)
Sample 307: Predicted=1, Actual=0 (Incorrect)
Sample 308: Predicted=1, Actual=1 (Correct)
Sample 309: Predicted=1, Actual=0 (Incorrect)
Sample 310: Predicted=1, Actual=0 (Incorrect)
Sample 311: Predicted=1, Actual=0 (Incorrect)
Sample 312: Predicted=0, Actual=1 (Incorrect)
Sample 313: Predicted=1, Actual=1 (Correct)
Sample 314: Predicted=0, Actual=0 (Correct)
Sample 315: Predicted=0, Actual=0 (Correct)
Sample 316: Predicted=1, Actual=1 (Correct)
Sample 317: Predicted=1, Actual=1 (Correct)
Sample 318: Predicted=1, Actual=0 (Incorrect)
Sample 319: Predicted=1, Actual=1 (Correct)
Sample 320: Predicted=1, Actual=1 (Correct)
Sample 321: Predicted=1, Actual=1 (Correct)
Sample 322: Predicted=1, Actual=0 (Incorrect)
Sample 323: Predicted=0, Actual=0 (Correct)
Sample 324: Predicted=1, Actual=1 (Correct)
Sample 325: Predicted=0, Actual=1 (Incorrect)
Sample 326: Predicted=1, Actual=0 (Incorrect)
Sample 327: Predicted=1, Actual=1 (Correct)
Sample 328: Predicted=0, Actual=1 (Incorrect)
Sample 329: Predicted=0, Actual=1 (Incorrect)
Sample 330: Predicted=1, Actual=1 (Correct)
Sample 331: Predicted=1, Actual=0 (Incorrect)
Sample 332: Predicted=1, Actual=0 (Incorrect)
Sample 333: Predicted=1, Actual=0 (Incorrect)
Sample 334: Predicted=0, Actual=1 (Incorrect)
Sample 335: Predicted=0, Actual=1 (Incorrect)
Sample 336: Predicted=1, Actual=1 (Correct)
Sample 337: Predicted=1, Actual=0 (Incorrect)
Sample 338: Predicted=1, Actual=0 (Incorrect)
Sample 339: Predicted=1, Actual=1 (Correct)
Sample 340: Predicted=1, Actual=1 (Correct)
Sample 341: Predicted=0, Actual=1 (Incorrect)
Sample 342: Predicted=1, Actual=1 (Correct)
Sample 343: Predicted=1, Actual=1 (Correct)
Sample 344: Predicted=1, Actual=1 (Correct)
Sample 345: Predicted=1, Actual=1 (Correct)
Sample 346: Predicted=1, Actual=1 (Correct)
Sample 347: Predicted=1, Actual=1 (Correct)
Sample 348: Predicted=1, Actual=1 (Correct)
Sample 349: Predicted=1, Actual=1 (Correct)
Sample 350: Predicted=0, Actual=0 (Correct)
Sample 351: Predicted=0, Actual=0 (Correct)
Sample 352: Predicted=0, Actual=1 (Incorrect)
Sample 353: Predicted=0, Actual=0 (Correct)
Sample 354: Predicted=1, Actual=0 (Incorrect)
Sample 355: Predicted=1, Actual=1 (Correct)
Sample 356: Predicted=0, Actual=0 (Correct)
Sample 357: Predicted=0, Actual=0 (Correct)
Sample 358: Predicted=1, Actual=1 (Correct)
Sample 359: Predicted=1, Actual=1 (Correct)
Sample 360: Predicted=0, Actual=1 (Incorrect)
Sample 361: Predicted=0, Actual=1 (Incorrect)
Sample 362: Predicted=1, Actual=1 (Correct)
Sample 363: Predicted=1, Actual=0 (Incorrect)
Sample 364: Predicted=1, Actual=1 (Correct)
Sample 365: Predicted=0, Actual=0 (Correct)
Sample 366: Predicted=1, Actual=1 (Correct)
Sample 367: Predicted=1, Actual=0 (Incorrect)
Sample 368: Predicted=1, Actual=0 (Incorrect)
Sample 369: Predicted=1, Actual=1 (Correct)
Sample 370: Predicted=1, Actual=1 (Correct)
Sample 371: Predicted=1, Actual=0 (Incorrect)
Sample 372: Predicted=1, Actual=0 (Incorrect)
Sample 373: Predicted=1, Actual=0 (Incorrect)
Sample 374: Predicted=1, Actual=1 (Correct)
Sample 375: Predicted=1, Actual=1 (Correct)
Sample 376: Predicted=1, Actual=0 (Incorrect)
Sample 377: Predicted=0, Actual=0 (Correct)
Sample 378: Predicted=0, Actual=1 (Incorrect)
Sample 379: Predicted=0, Actual=1 (Incorrect)
Sample 380: Predicted=0, Actual=1 (Incorrect)
Sample 381: Predicted=1, Actual=0 (Incorrect)
Sample 382: Predicted=1, Actual=0 (Incorrect)
Sample 383: Predicted=1, Actual=1 (Correct)
Sample 384: Predicted=1, Actual=1 (Correct)
Sample 385: Predicted=1, Actual=0 (Incorrect)
Sample 386: Predicted=1, Actual=1 (Correct)
Sample 387: Predicted=1, Actual=1 (Correct)
Sample 388: Predicted=1, Actual=0 (Incorrect)
Sample 389: Predicted=1, Actual=1 (Correct)
Sample 390: Predicted=0, Actual=1 (Incorrect)
Sample 391: Predicted=1, Actual=0 (Incorrect)
Sample 392: Predicted=1, Actual=1 (Correct)
Sample 393: Predicted=1, Actual=0 (Incorrect)
Sample 394: Predicted=1, Actual=0 (Incorrect)
Sample 395: Predicted=1, Actual=1 (Correct)
Sample 396: Predicted=1, Actual=1 (Correct)
Sample 397: Predicted=1, Actual=0 (Incorrect)
Sample 398: Predicted=0, Actual=0 (Correct)
Sample 399: Predicted=1, Actual=1 (Correct)
Sample 400: Predicted=0, Actual=1 (Incorrect)
Sample 401: Predicted=1, Actual=1 (Correct)
Sample 402: Predicted=0, Actual=1 (Incorrect)
Sample 403: Predicted=0, Actual=0 (Correct)
Sample 404: Predicted=1, Actual=0 (Incorrect)
Sample 405: Predicted=0, Actual=0 (Correct)
Sample 406: Predicted=1, Actual=1 (Correct)
Sample 407: Predicted=1, Actual=0 (Incorrect)
Sample 408: Predicted=1, Actual=0 (Incorrect)
Sample 409: Predicted=1, Actual=0 (Incorrect)
Sample 410: Predicted=1, Actual=0 (Incorrect)
Sample 411: Predicted=0, Actual=1 (Incorrect)
Sample 412: Predicted=1, Actual=0 (Incorrect)
Sample 413: Predicted=1, Actual=1 (Correct)
Sample 414: Predicted=1, Actual=0 (Incorrect)
Sample 415: Predicted=0, Actual=1 (Incorrect)
Sample 416: Predicted=1, Actual=0 (Incorrect)
Sample 417: Predicted=1, Actual=1 (Correct)
Sample 418: Predicted=1, Actual=1 (Correct)
Sample 419: Predicted=1, Actual=1 (Correct)
Sample 420: Predicted=0, Actual=1 (Incorrect)
Sample 421: Predicted=1, Actual=1 (Correct)
Sample 422: Predicted=1, Actual=0 (Incorrect)
Sample 423: Predicted=1, Actual=0 (Incorrect)
Sample 424: Predicted=1, Actual=0 (Incorrect)
Sample 425: Predicted=1, Actual=1 (Correct)
Sample 426: Predicted=1, Actual=0 (Incorrect)
Sample 427: Predicted=1, Actual=0 (Incorrect)
Sample 428: Predicted=0, Actual=0 (Correct)
Sample 429: Predicted=1, Actual=0 (Incorrect)
Sample 430: Predicted=0, Actual=1 (Incorrect)
Sample 431: Predicted=1, Actual=0 (Incorrect)
Sample 432: Predicted=1, Actual=1 (Correct)
Sample 433: Predicted=1, Actual=0 (Incorrect)
Sample 434: Predicted=1, Actual=0 (Incorrect)
Sample 435: Predicted=1, Actual=0 (Incorrect)
Sample 436: Predicted=1, Actual=0 (Incorrect)
Sample 437: Predicted=1, Actual=1 (Correct)
Sample 438: Predicted=1, Actual=1 (Correct)
Sample 439: Predicted=0, Actual=1 (Incorrect)
Sample 440: Predicted=1, Actual=1 (Correct)
Sample 441: Predicted=1, Actual=1 (Correct)
Sample 442: Predicted=0, Actual=1 (Incorrect)
Sample 443: Predicted=0, Actual=0 (Correct)
Sample 444: Predicted=1, Actual=0 (Incorrect)
Sample 445: Predicted=1, Actual=1 (Correct)
Sample 446: Predicted=1, Actual=1 (Correct)
Sample 447: Predicted=0, Actual=1 (Incorrect)
Sample 448: Predicted=0, Actual=0 (Correct)
Sample 449: Predicted=1, Actual=1 (Correct)
Sample 450: Predicted=0, Actual=1 (Incorrect)
Sample 451: Predicted=1, Actual=1 (Correct)
Sample 452: Predicted=1, Actual=1 (Correct)
Sample 453: Predicted=1, Actual=0 (Incorrect)
Sample 454: Predicted=0, Actual=0 (Correct)
Sample 455: Predicted=1, Actual=1 (Correct)
Sample 456: Predicted=1, Actual=1 (Correct)
Sample 457: Predicted=0, Actual=0 (Correct)
Sample 458: Predicted=1, Actual=1 (Correct)
Sample 459: Predicted=1, Actual=0 (Incorrect)
Sample 460: Predicted=1, Actual=1 (Correct)
Sample 461: Predicted=0, Actual=0 (Correct)
Sample 462: Predicted=1, Actual=0 (Incorrect)
Sample 463: Predicted=1, Actual=1 (Correct)
Sample 464: Predicted=1, Actual=1 (Correct)
Sample 465: Predicted=0, Actual=1 (Incorrect)
Sample 466: Predicted=1, Actual=0 (Incorrect)
Sample 467: Predicted=0, Actual=0 (Correct)
Sample 468: Predicted=0, Actual=0 (Correct)
Sample 469: Predicted=1, Actual=1 (Correct)
Sample 470: Predicted=0, Actual=1 (Incorrect)
Sample 471: Predicted=1, Actual=0 (Incorrect)
Sample 472: Predicted=0, Actual=0 (Correct)
Sample 473: Predicted=0, Actual=0 (Correct)
Sample 474: Predicted=1, Actual=0 (Incorrect)
Sample 475: Predicted=0, Actual=1 (Incorrect)
Sample 476: Predicted=1, Actual=0 (Incorrect)
Sample 477: Predicted=1, Actual=1 (Correct)
Sample 478: Predicted=1, Actual=0 (Incorrect)
Sample 479: Predicted=0, Actual=1 (Incorrect)
Sample 480: Predicted=1, Actual=1 (Correct)
Sample 481: Predicted=1, Actual=1 (Correct)
Sample 482: Predicted=1, Actual=0 (Incorrect)
Sample 483: Predicted=0, Actual=0 (Correct)
Sample 484: Predicted=1, Actual=0 (Incorrect)
Sample 485: Predicted=1, Actual=1 (Correct)
Sample 486: Predicted=1, Actual=0 (Incorrect)
Sample 487: Predicted=1, Actual=0 (Incorrect)
Sample 488: Predicted=0, Actual=0 (Correct)
Sample 489: Predicted=0, Actual=0 (Correct)
Sample 490: Predicted=1, Actual=1 (Correct)
Sample 491: Predicted=0, Actual=1 (Incorrect)
Sample 492: Predicted=0, Actual=1 (Incorrect)
Sample 493: Predicted=0, Actual=1 (Incorrect)
Sample 494: Predicted=1, Actual=0 (Incorrect)
Sample 495: Predicted=1, Actual=0 (Incorrect)
Sample 496: Predicted=1, Actual=1 (Correct)
Sample 497: Predicted=1, Actual=1 (Correct)
Sample 498: Predicted=1, Actual=1 (Correct)
Sample 499: Predicted=1, Actual=1 (Correct)
Sample 500: Predicted=0, Actual=1 (Incorrect)
Sample 501: Predicted=0, Actual=1 (Incorrect)
Sample 502: Predicted=1, Actual=0 (Incorrect)
Sample 503: Predicted=1, Actual=0 (Incorrect)
Sample 504: Predicted=1, Actual=1 (Correct)
Sample 505: Predicted=1, Actual=1 (Correct)
Sample 506: Predicted=0, Actual=0 (Correct)
Sample 507: Predicted=0, Actual=0 (Correct)
Sample 508: Predicted=1, Actual=1 (Correct)
Sample 509: Predicted=1, Actual=1 (Correct)
Sample 510: Predicted=1, Actual=1 (Correct)
Sample 511: Predicted=1, Actual=0 (Incorrect)
Sample 512: Predicted=1, Actual=0 (Incorrect)
Sample 513: Predicted=1, Actual=0 (Incorrect)
Sample 514: Predicted=1, Actual=1 (Correct)
Sample 515: Predicted=0, Actual=0 (Correct)
Sample 516: Predicted=0, Actual=0 (Correct)
Sample 517: Predicted=1, Actual=1 (Correct)
Sample 518: Predicted=1, Actual=0 (Incorrect)
Sample 519: Predicted=0, Actual=1 (Incorrect)
Sample 520: Predicted=0, Actual=1 (Incorrect)
Sample 521: Predicted=0, Actual=0 (Correct)
Sample 522: Predicted=1, Actual=0 (Incorrect)
